date,MS_close,MS_volume,MS_open,MS_high,MS_low,HP_close,HP_volume,HP_open,HP_high,HP_low
16:00,119.97,"22,860,644",119.88,120.43,119.15,19.75,"14,053,489",19.78,20.03,19.66
4/3/19,119.97,22354020,119.86,120.43,119.15,19.75,14054170,19.78,20.03,19.66
4/2/19,119.19,16413430,119.06,119.48,118.52,19.72,16592750,20.14,20.195,19.67
4/1/19,119.02,19885780,118.95,119.1085,118.1,20.05,13754270,19.73,20.09,19.54
3/29/19,117.94,25375220,118.07,118.32,116.96,19.43,12158830,19.22,19.48,19.19
3/28/19,116.93,17527550,117.44,117.58,116.13,19,15678440,18.96,19.25,18.905
3/27/19,116.77,22669440,117.875,118.21,115.5215,18.93,13525820,19.11,19.38,18.86
3/26/19,117.91,25986230,118.62,118.705,116.85,19.13,10991480,19.1,19.36,19
3/25/19,117.66,26641480,116.56,118.01,116.3224,18.97,15881680,19.28,19.32,18.86
3/22/19,117.05,32346990,119.5,119.59,117.04,19.34,15556580,20.11,20.17,19.33
3/21/19,120.22,29747140,117.135,120.82,117.09,20.22,11842760,19.95,20.345,19.95
3/20/19,117.52,26110540,117.39,118.75,116.71,19.99,11558430,20.01,20.16,19.8
3/19/19,117.65,35304130,118.09,118.44,116.99,20,12975270,20.03,20.28,19.91
3/18/19,117.57,31098780,116.17,117.61,116.05,19.95,13231760,19.91,20.07,19.84
3/15/19,115.91,54025470,115.34,117.25,114.59,19.94,22556220,19.65,19.97,19.64
3/14/19,114.59,30414810,114.54,115.2,114.33,19.64,18526830,19.62,19.71,19.49
3/13/19,114.5,35311160,114.13,115,113.78,19.61,25227510,19.1,19.63,19.05
3/12/19,113.62,26103480,112.82,113.99,112.6499,19.06,19010170,18.92,19.115,18.86
3/11/19,112.83,24525610,110.99,112.95,110.98,19.04,11834370,18.78,19.21,18.78
3/8/19,110.51,22803110,109.16,110.71,108.8,18.74,10238300,18.53,18.75,18.46
3/7/19,110.39,25320540,111.4,111.55,109.865,18.82,14276190,19,19.02,18.73
3/6/19,111.75,17651130,111.87,112.66,111.43,19.08,14410300,19.33,19.35,19.06
3/5/19,111.7,19090780,112.25,112.39,111.23,19.36,15524560,19.54,19.74,19.35
3/4/19,112.26,25869380,113.02,113.25,110.8,19.53,19446830,19.61,19.91,19.35
3/1/19,112.53,20821260,112.89,113.02,111.665,19.6,29415810,19.92,19.95,19.49
2/28/19,112.03,28948570,112.04,112.88,111.73,19.73,53495280,20.05,20.34,19.34
2/27/19,112.17,21471170,111.69,112.36,110.88,23.85,10757530,23.75,23.89,23.61
2/26/19,112.36,21513210,111.26,113.24,111.17,23.9,9341232,23.78,23.99,23.76
2/25/19,111.59,23723500,111.76,112.18,111.26,23.91,12772300,23.83,24.09,23.805
2/22/19,110.97,27746840,110.05,111.2,109.82,23.74,6729647,23.55,23.82,23.52
2/21/19,109.41,28856200,106.9,109.48,106.87,23.39,9500179,23.21,23.62,23.21
2/20/19,107.15,21603580,107.86,107.94,106.29,23.38,6341808,23.28,23.53,23.25
2/19/19,108.17,17982860,107.79,108.66,107.78,23.25,7177139,23.24,23.39,23.175
2/15/19,108.22,26589160,107.91,108.3,107.3624,23.28,10865520,23.33,23.4,23.14
2/14/19,106.9,21745770,106.31,107.29,105.66,23.23,6843727,23.23,23.46,23.19
2/13/19,106.81,18337830,107.5,107.78,106.71,23.32,9811172,23.44,23.54,23.22
2/12/19,106.89,25018670,106.14,107.14,105.48,23.35,6248788,23.01,23.4,23
