"date","close","volume","open","high","low"

"2019/04/18","0.4800","6784334.0000","0.5801","0.5900","0.4501"
"2019/04/17","0.6458","3580528.0000","0.6550","0.6650","0.5800"
"2019/04/16","0.6500","2632162.0000","0.6616","0.6750","0.6498"
"2019/04/15","0.6544","1254065.0000","0.6677","0.6679","0.6410"
"2019/04/12","0.6594","1905234.0000","0.6778","0.6800","0.6410"
"2019/04/11","0.6725","1035230.0000","0.6700","0.6788","0.6568"
"2019/04/10","0.6602","932854.0000","0.6700","0.6710","0.6500"
"2019/04/09","0.6626","1288188.0000","0.6780","0.6867","0.6600"
"2019/04/08","0.6754","2761090.0000","0.7100","0.7199","0.6600"
"2019/04/05","0.7073","2351725.0000","0.7200","0.7576","0.7000"
"2019/04/04","0.7018","1290981.0000","0.6715","0.7087","0.6530"
"2019/04/03","0.6645","2021970.0000","0.6928","0.7100","0.6530"
"2019/04/02","0.6876","3476525.0000","0.7400","0.7432","0.6700"
"2019/04/01","0.7364","2829833.0000","0.7760","0.7800","0.7100"
"2019/03/29","0.7635","1582833.0000","0.8095","0.8095","0.7528"
"2019/03/28","0.7864","1281118.0000","0.7728","0.8120","0.7600"
"2019/03/27","0.7495","1656551.0000","0.7599","0.7900","0.7300"
"2019/03/26","0.7599","1236139.0000","0.8100","0.8380","0.7561"
"2019/03/25","0.8122","2141169.0000","0.7469","0.8378","0.7200"
"2019/03/22","0.7614","3457881.0000","0.7770","0.8180","0.7100"
"2019/03/21","0.7797","4077057.0000","0.8482","0.8951","0.7600"
"2019/03/20","0.8204","4579656.0000","0.7500","0.8674","0.7450"
"2019/03/19","0.7500","5316406.0000","0.6661","0.7790","0.6500"
"2019/03/18","0.6447","5784632.0000","0.6900","0.7000","0.6000"
"2019/03/15","0.7014","11042990.0000","0.8098","0.8099","0.6269"
"2019/03/14","0.7800","17256610.0000","1.1000","1.1200","0.5600"
"2019/03/13","1.1000","2237860.0000","1.1400","1.1400","1.0300"
"2019/03/12","1.1400","1025430.0000","1.1000","1.1500","1.0700"
"2019/03/11","1.0900","4344395.0000","1.2600","1.2696","0.9898"
"2019/03/08","1.2400","881142.0000","1.2100","1.2700","1.2100"
"2019/03/07","1.2300","1914828.0000","1.3800","1.4000","1.2150"
"2019/03/06","1.3800","904389.0000","1.4100","1.4400","1.3800"
"2019/03/05","1.4000","1945861.0000","1.4300","1.4700","1.3700"
"2019/03/04","1.4200","1833331.0000","1.4100","1.4800","1.3100"
"2019/03/01","1.4200","1947068.0000","1.3500","1.4300","1.3400"
"2019/02/28","1.3500","1112630.0000","1.4100","1.4200","1.3000"
"2019/02/27","1.3900","1929142.0000","1.2800","1.4000","1.2400"
"2019/02/26","1.2900","3187223.0000","1.3500","1.3732","1.1500"
"2019/02/25","1.3300","6959875.0000","1.4600","1.5500","1.3200"
"2019/02/22","1.3100","6480302.0000","1.1500","1.3300","1.1100"
"2019/02/21","1.1100","4606612.0000","1.0200","1.1200","1.0200"
"2019/02/20","1.0200","7415716.0000","0.9200","1.0600","0.9033"
"2019/02/19","0.8755","1151563.0000","0.9068","0.9310","0.8600"
"2019/02/15","0.9039","1053038.0000","0.8950","0.9300","0.8500"
"2019/02/14","0.8857","1191204.0000","0.9000","0.9014","0.8200"
"2019/02/13","0.9056","1678905.0000","0.9161","0.9450","0.8640"
"2019/02/12","0.9183","5549585.0000","0.8800","0.9900","0.8736"
"2019/02/11","0.8735","1259368.0000","0.8500","0.8800","0.8208"
"2019/02/08","0.8336","1069554.0000","0.8383","0.8429","0.8000"
"2019/02/07","0.8359","496851.0000","0.8251","0.8400","0.8100"
"2019/02/06","0.8359","875744.0000","0.8550","0.8550","0.8000"
"2019/02/05","0.8483","2386324.0000","0.7984","0.8572","0.7900"
"2019/02/04","0.8000","2292115.0000","0.8400","0.8400","0.7890"
"2019/02/01","0.8214","3034399.0000","0.8300","0.8890","0.7800"
"2019/01/31","0.8157","2137416.0000","0.8660","0.8900","0.8001"
"2019/01/30","0.8589","3383392.0000","0.9300","0.9300","0.8201"
"2019/01/29","0.9168","1588739.0000","0.9085","0.9347","0.8789"
"2019/01/28","0.9071","3242428.0000","0.9400","0.9600","0.8800"
"2019/01/25","0.9190","5314340.0000","0.8900","0.9476","0.8300"
"2019/01/24","0.8578","13940920.0000","0.9155","0.9876","0.8343"
"2019/01/23","0.8711","12517620.0000","0.7451","0.8846","0.7250"
"2019/01/22","0.7041","1977836.0000","0.7000","0.7500","0.6609"
"2019/01/18","0.7049","3230734.0000","0.7500","0.7861","0.6700"
"2019/01/17","0.7381","2644964.0000","0.7105","0.8000","0.7100"
"2019/01/16","0.7313","7608466.0000","0.6130","0.7949","0.5830"
"2019/01/15","0.6828","9073391.0000","0.8783","0.8800","0.6600"
"2019/01/14","0.8832","6844868.0000","0.9015","0.9200","0.8500"
"2019/01/11","0.9000","13609900.0000","0.7900","1.0100","0.7600"
"2019/01/10","0.7728","7072668.0000","0.6928","0.7857","0.6600"
"2019/01/09","0.7468","13359000.0000","0.7108","0.8200","0.6200"
"2019/01/08","0.6914","16553770.0000","0.5800","0.7300","0.5800"
"2019/01/07","0.5552","10347030.0000","0.4400","0.5695","0.4400"
"2019/01/04","0.4315","11613950.0000","0.3800","0.4647","0.3600"
"2019/01/03","0.3500","7843619.0000","0.3200","0.3800","0.3138"
"2019/01/02","0.3107","6027434.0000","0.3108","0.3390","0.2981"
"2018/12/31","0.3058","9920040.0000","0.3200","0.3436","0.2785"
"2018/12/28","0.3101","9925720.0000","0.3224","0.4090","0.2977"
"2018/12/27","0.3100","4551421.0000","0.3555","0.3589","0.2901"
"2018/12/26","0.3419","7569075.0000","0.3200","0.4000","0.2947"
"2018/12/24","0.2985","4586955.0000","0.3850","0.3900","0.2903"
"2018/12/21","0.3800","7413877.0000","0.5000","0.5000","0.3590"
"2018/12/20","0.4705","9485443.0000","0.9400","0.9800","0.4000"
"2018/12/19","1.1100","2342318.0000","1.0100","1.1600","1.0100"
"2018/12/18","1.0100","1051345.0000","1.1000","1.1500","1.0000"
"2018/12/17","1.1000","1081779.0000","1.1000","1.1800","1.0800"
"2018/12/14","1.1500","1090745.0000","1.1800","1.2200","1.1400"
"2018/12/13","1.1700","797550.0000","1.2500","1.3000","1.1700"
"2018/12/12","1.2500","614438.0000","1.2500","1.3300","1.2300"
"2018/12/11","1.2300","548988.0000","1.2700","1.3000","1.2200"
"2018/12/10","1.2500","822283.0000","1.2600","1.2900","1.2000"
"2018/12/07","1.2700","575789.0000","1.3400","1.3850","1.2500"
"2018/12/06","1.3300","659984.0000","1.3600","1.3800","1.3100"
"2018/12/04","1.3900","995613.0000","1.4700","1.4923","1.3400"
"2018/12/03","1.4700","864805.0000","1.4800","1.5200","1.4200"
"2018/11/30","1.4400","910946.0000","1.5000","1.5200","1.4400"
"2018/11/29","1.4900","284981.0000","1.4900","1.5000","1.4700"
"2018/11/28","1.5000","422578.0000","1.5400","1.5500","1.4800"
"2018/11/27","1.5400","242127.0000","1.5100","1.5500","1.5000"
"2018/11/26","1.5200","275433.0000","1.5400","1.5400","1.5000"
"2018/11/23","1.5200","96879.0000","1.4900","1.5400","1.4900"
"2018/11/21","1.5100","352877.0000","1.4400","1.5400","1.4400"
"2018/11/20","1.4400","425098.0000","1.4700","1.5150","1.4300"
"2018/11/19","1.5200","1132094.0000","1.5500","1.5700","1.4200"
"2018/11/16","1.5300","838318.0000","1.5500","1.5900","1.5100"
"2018/11/15","1.5700","312112.0000","1.5400","1.5900","1.5100"
"2018/11/14","1.5600","214725.0000","1.6000","1.6300","1.5400"
"2018/11/13","1.5900","413872.0000","1.5300","1.6100","1.5200"
"2018/11/12","1.5600","635649.0000","1.6500","1.6500","1.4900"
"2018/11/09","1.6500","156720.0000","1.6800","1.7100","1.6400"
"2018/11/08","1.7000","307891.0000","1.7000","1.7400","1.6800"
"2018/11/07","1.7100","392967.0000","1.6200","1.7200","1.6100"
"2018/11/06","1.6200","351083.0000","1.5500","1.6300","1.5500"
"2018/11/05","1.5500","438154.0000","1.5600","1.5800","1.5100"
"2018/11/02","1.5500","369497.0000","1.6300","1.6500","1.5300"
"2018/11/01","1.6200","366383.0000","1.6000","1.6400","1.5700"
"2018/10/31","1.5900","960021.0000","1.7800","1.7900","1.5800"
"2018/10/30","1.7900","2189688.0000","1.6300","1.8200","1.6300"
"2018/10/29","1.6300","413225.0000","1.6100","1.6800","1.5800"
"2018/10/26","1.6100","1129186.0000","1.5900","1.6900","1.5850"
"2018/10/25","1.6100","506987.0000","1.5900","1.6100","1.5500"
"2018/10/24","1.5700","458101.0000","1.5800","1.6200","1.5525"
"2018/10/23","1.6000","559004.0000","1.5900","1.6300","1.5500"
"2018/10/22","1.5900","571764.0000","1.5600","1.6100","1.5000"
"2018/10/19","1.5400","1210503.0000","1.5700","1.5900","1.5050"
"2018/10/18","1.5800","611302.0000","1.6000","1.6300","1.5550"
"2018/10/17","1.6100","528487.0000","1.5900","1.6300","1.5703"
"2018/10/16","1.6100","963373.0000","1.4900","1.6200","1.4200"
"2018/10/15","1.6400","878880.0000","1.5300","1.6400","1.5100"
"2018/10/12","1.5300","1099220.0000","1.6000","1.6000","1.4900"
"2018/10/11","1.5800","805158.0000","1.5900","1.6000","1.5500"
"2018/10/10","1.6000","917304.0000","1.5800","1.6200","1.5800"
"2018/10/09","1.5900","1055177.0000","1.5500","1.6200","1.5200"
"2018/10/08","1.5600","648115.0000","1.5100","1.5900","1.5000"
"2018/10/05","1.5100","1001033.0000","1.4900","1.6400","1.4900"
"2018/10/04","1.5100","2804579.0000","1.4000","1.5900","1.3801"
"2018/10/03","1.5400","1813787.0000","1.5200","1.5500","1.5000"
"2018/10/02","1.5000","1163673.0000","1.4900","1.5700","1.4900"
"2018/10/01","1.4900","743084.0000","1.5100","1.5600","1.4600"
"2018/09/28","1.5000","952804.0000","1.4800","1.5400","1.4700"
"2018/09/27","1.4900","945232.0000","1.4800","1.4900","1.4500"
"2018/09/26","1.5000","1600579.0000","1.4700","1.5100","1.4500"
"2018/09/25","1.4700","2507098.0000","1.4700","1.4800","1.4000"
"2018/09/24","1.4700","2126147.0000","1.4500","1.4800","1.4200"
"2018/09/21","1.4500","7960918.0000","1.5100","1.5300","1.3600"
"2018/09/20","1.8100","1410523.0000","1.7600","1.8200","1.7500"
"2018/09/19","1.7500","1650585.0000","1.7300","1.7800","1.7100"
"2018/09/18","1.7400","892799.0000","1.7300","1.7700","1.7200"
"2018/09/17","1.7100","1669804.0000","1.6900","1.7400","1.6600"
"2018/09/14","1.6900","1176649.0000","1.7800","1.7800","1.6900"
"2018/09/13","1.7500","643198.0000","1.8100","1.8400","1.7500"
"2018/09/12","1.8100","763175.0000","1.8400","1.8450","1.7900"
"2018/09/11","1.8300","1019884.0000","1.8400","1.8600","1.8200"
"2018/09/10","1.8400","863977.0000","1.8300","1.8500","1.8000"
"2018/09/07","1.8100","874079.0000","1.7900","1.8550","1.7850"
"2018/09/06","1.7900","1507527.0000","1.8300","1.8600","1.7600"
"2018/09/05","1.8300","1358701.0000","1.8000","1.8500","1.8000"
"2018/09/04","1.8100","1478850.0000","1.8500","1.8675","1.8100"
"2018/08/31","1.8400","1513059.0000","1.9400","1.9700","1.8200"
"2018/08/30","1.9400","843063.0000","2.0400","2.0600","1.9300"
"2018/08/29","2.0500","971787.0000","2.0700","2.1000","2.0100"
"2018/08/28","2.0700","1099936.0000","1.9700","2.0800","1.9700"
"2018/08/27","1.9700","626666.0000","1.9700","1.9900","1.9500"
"2018/08/24","2.0000","1137401.0000","1.9400","2.0300","1.9200"
"2018/08/23","1.9200","937286.0000","1.9100","1.9500","1.8900"
"2018/08/22","1.9000","1154288.0000","1.8700","1.9100","1.8700"
"2018/08/21","1.8600","888650.0000","1.8800","1.9000","1.8200"
"2018/08/20","1.8700","861688.0000","1.9200","1.9300","1.8500"
"2018/08/17","1.9000","2136934.0000","1.8100","1.9237","1.8100"
"2018/08/16","1.8000","2217116.0000","1.8000","1.8199","1.7500"
"2018/08/15","1.7800","2399476.0000","1.8500","1.8700","1.7400"
"2018/08/14","1.8500","923107.0000","1.8700","1.8900","1.8300"
"2018/08/13","1.8400","2166398.0000","1.9900","1.9913","1.8300"
"2018/08/10","1.9900","1822121.0000","2.1100","2.1200","1.9800"
"2018/08/09","2.1300","485268.0000","2.1400","2.1500","2.1100"
"2018/08/08","2.1300","506313.0000","2.1200","2.1500","2.1100"
"2018/08/07","2.1300","651827.0000","2.1400","2.1500","2.1100"
"2018/08/06","2.1300","555586.0000","2.1400","2.1500","2.1100"
"2018/08/03","2.1300","1045988.0000","2.1600","2.1900","2.1200"
"2018/08/02","2.1300","585345.0000","2.1000","2.1500","2.0800"
"2018/08/01","2.1100","675466.0000","2.1700","2.1900","2.1000"
"2018/07/31","2.1600","699064.0000","2.1900","2.2050","2.1300"
"2018/07/30","2.1700","873038.0000","2.1100","2.1850","2.1100"
"2018/07/27","2.1100","661282.0000","2.1700","2.2100","2.1047"
"2018/07/26","2.1600","731708.0000","2.2000","2.2600","2.1300"
"2018/07/25","2.2100","1353974.0000","2.1100","2.2350","2.0900"
"2018/07/24","2.1100","1333929.0000","2.1900","2.2000","2.0800"
"2018/07/23","2.1600","736498.0000","2.1500","2.1900","2.1400"
"2018/07/20","2.1600","493396.0000","2.2000","2.2200","2.1600"
"2018/07/19","2.2000","1299392.0000","2.1600","2.2190","2.1600"
"2018/07/18","2.1700","1421386.0000","2.2100","2.2200","2.1200"
"2018/07/17","2.2200","1137645.0000","2.2100","2.2600","2.1600"
"2018/07/16","2.2200","1018886.0000","2.2500","2.2600","2.1700"
"2018/07/13","2.2300","1022594.0000","2.2100","2.2800","2.2100"
"2018/07/12","2.2100","3270727.0000","2.3200","2.3548","2.1800"
"2018/07/11","2.3200","1510933.0000","2.3500","2.3500","2.2500"
"2018/07/10","2.3500","1088335.0000","2.4400","2.4700","2.3500"
"2018/07/09","2.4400","908087.0000","2.5800","2.5800","2.4400"
"2018/07/06","2.5800","1188882.0000","2.4700","2.6700","2.4600"
