"date","close","volume","open","high","low"

"2019/04/18","0.6990","590903.0000","0.7600","0.7700","0.6631"
"2019/04/17","0.7634","217626.0000","0.7927","0.7999","0.7600"
"2019/04/16","0.7911","154838.0000","0.8060","0.8155","0.7910"
"2019/04/15","0.8066","391332.0000","0.8324","0.8362","0.7900"
"2019/04/12","0.8200","263891.0000","0.8544","0.8600","0.8033"
"2019/04/11","0.8306","640435.0000","0.8200","0.8600","0.8199"
"2019/04/10","0.8188","204790.0000","0.7958","0.8253","0.7875"
"2019/04/09","0.8005","207656.0000","0.8270","0.8270","0.7850"
"2019/04/08","0.8125","466772.0000","0.8000","0.8400","0.8000"
"2019/04/05","0.7875","474316.0000","0.7770","0.8130","0.7590"
"2019/04/04","0.7659","169764.0000","0.7840","0.7840","0.7601"
"2019/04/03","0.7800","191902.0000","0.7900","0.8000","0.7800"
"2019/04/02","0.8000","530005.0000","0.7730","0.8400","0.7300"
"2019/04/01","0.7500","283317.0000","0.7900","0.7950","0.7400"
"2019/03/29","0.7550","377170.0000","0.7957","0.7957","0.7500"
"2019/03/28","0.7801","469868.0000","0.8250","0.8400","0.7770"
"2019/03/27","0.8199","529469.0000","0.7870","0.8400","0.7848"
"2019/03/26","0.7795","479587.0000","0.7100","0.8000","0.7100"
"2019/03/25","0.7100","320484.0000","0.7281","0.7498","0.6900"
"2019/03/22","0.7281","577105.0000","0.8200","0.8200","0.7200"
"2019/03/21","0.8073","564154.0000","0.8601","0.8800","0.7900"
"2019/03/20","0.8621","705781.0000","0.8050","0.8697","0.8000"
"2019/03/19","0.7921","467689.0000","0.7700","0.8100","0.7500"
"2019/03/18","0.7687","569483.0000","0.7200","0.7790","0.7170"
"2019/03/15","0.7082","771189.0000","0.7501","0.7550","0.7000"
"2019/03/14","0.7571","1500414.0000","0.8500","0.8898","0.7201"
"2019/03/13","0.8482","2474021.0000","0.8900","1.0000","0.8200"
"2019/03/12","0.9150","8623932.0000","0.7400","1.2000","0.7000"
"2019/03/11","0.6800","1187593.0000","0.6100","0.7487","0.6100"
"2019/03/08","0.6045","1716354.0000","0.6000","0.7900","0.5700"
"2019/03/07","0.5799","866303.0000","0.5565","0.5900","0.5400"
"2019/03/06","0.5455","750363.0000","0.5200","0.5699","0.5193"
"2019/03/05","0.5119","318403.0000","0.5000","0.5200","0.4950"
"2019/03/04","0.4958","324165.0000","0.5040","0.5180","0.4900"
"2019/03/01","0.5069","410990.0000","0.5000","0.5100","0.4800"
"2019/02/28","0.4931","282718.0000","0.5000","0.5100","0.4925"
"2019/02/27","0.4913","380317.0000","0.5000","0.5047","0.4860"
"2019/02/26","0.4850","228062.0000","0.4935","0.5000","0.4850"
"2019/02/25","0.4811","231555.0000","0.4900","0.4940","0.4723"
"2019/02/22","0.4717","143421.0000","0.4900","0.4900","0.4650"
"2019/02/21","0.4800","272508.0000","0.5000","0.5100","0.4600"
"2019/02/20","0.4838","232985.0000","0.5000","0.5027","0.4838"
"2019/02/19","0.4978","286816.0000","0.5000","0.5000","0.4800"
"2019/02/15","0.4842","586391.0000","0.4773","0.5200","0.4680"
"2019/02/14","0.4702","141079.0000","0.4600","0.4730","0.4600"
"2019/02/13","0.4683","133792.0000","0.4720","0.4750","0.4600"
"2019/02/12","0.4750","201920.0000","0.4750","0.4850","0.4600"
"2019/02/11","0.4657","243279.0000","0.4500","0.4700","0.4402"
"2019/02/08","0.4402","455028.0000","0.4719","0.4800","0.4240"
"2019/02/07","0.4744","234198.0000","0.4640","0.4890","0.4600"
"2019/02/06","0.4615","221687.0000","0.4800","0.4800","0.4600"
"2019/02/05","0.4698","391833.0000","0.5000","0.5000","0.4600"
"2019/02/04","0.4805","182429.0000","0.4800","0.4900","0.4750"
"2019/02/01","0.4730","331590.0000","0.4950","0.4950","0.4700"
"2019/01/31","0.4865","169651.0000","0.4924","0.4999","0.4751"
"2019/01/30","0.4907","167512.0000","0.4924","0.5000","0.4700"
"2019/01/29","0.4736","227828.0000","0.5000","0.5000","0.4700"
"2019/01/28","0.4786","220158.0000","0.5100","0.5100","0.4700"
"2019/01/25","0.4925","274254.0000","0.4910","0.5200","0.4800"
"2019/01/24","0.4894","497814.0000","0.5037","0.5200","0.4800"
"2019/01/23","0.5049","909147.0000","0.5007","0.5390","0.4980"
"2019/01/22","0.4758","597773.0000","0.4900","0.5000","0.4700"
"2019/01/18","0.4601","313342.0000","0.4600","0.4717","0.4530"
"2019/01/17","0.4510","481487.0000","0.4800","0.4800","0.4500"
"2019/01/16","0.4646","560040.0000","0.4600","0.4800","0.4515"
"2019/01/15","0.4587","433046.0000","0.4511","0.4760","0.4500"
"2019/01/14","0.4530","401688.0000","0.4634","0.4760","0.4484"
"2019/01/11","0.4632","1143454.0000","0.4770","0.4850","0.4322"
"2019/01/10","0.4770","2539070.0000","0.5210","0.5500","0.4600"
"2019/01/09","0.4280","677429.0000","0.4200","0.4500","0.4102"
"2019/01/08","0.4101","651039.0000","0.4250","0.4250","0.4023"
"2019/01/07","0.4229","314519.0000","0.4264","0.4300","0.4100"
"2019/01/04","0.4061","452793.0000","0.4000","0.4200","0.3980"
"2019/01/03","0.3980","751693.0000","0.4082","0.4273","0.3900"
"2019/01/02","0.3931","808329.0000","0.4300","0.4322","0.3850"
"2018/12/31","0.4174","613953.0000","0.4200","0.4500","0.4022"
"2018/12/28","0.4241","297970.0000","0.4165","0.4400","0.4165"
"2018/12/27","0.4165","403729.0000","0.4177","0.4450","0.4030"
"2018/12/26","0.4177","760664.0000","0.4286","0.4500","0.4030"
"2018/12/24","0.4082","186001.0000","0.4400","0.4530","0.4000"
"2018/12/21","0.4409","777335.0000","0.4970","0.4970","0.4000"
"2018/12/20","0.4600","326748.0000","0.4821","0.5000","0.4500"
"2018/12/19","0.4735","254658.0000","0.4595","0.5000","0.4522"
"2018/12/18","0.4502","627650.0000","0.4900","0.5000","0.4500"
"2018/12/17","0.5021","576218.0000","0.5595","0.6298","0.4800"
"2018/12/14","0.5390","2906731.0000","0.5100","0.7500","0.4797"
"2018/12/13","0.4708","589019.0000","0.4500","0.4780","0.4399"
"2018/12/12","0.4400","295656.0000","0.4200","0.4500","0.4200"
"2018/12/11","0.4153","227819.0000","0.4200","0.4202","0.4000"
"2018/12/10","0.4108","361709.0000","0.4200","0.4496","0.4010"
"2018/12/07","0.4110","311183.0000","0.4400","0.4400","0.4050"
"2018/12/06","0.4253","321073.0000","0.4300","0.4499","0.4200"
"2018/12/04","0.4313","344926.0000","0.4600","0.4600","0.4310"
"2018/12/03","0.4611","371980.0000","0.4600","0.4611","0.4300"
"2018/11/30","0.4534","360676.0000","0.4608","0.4696","0.4400"
"2018/11/29","0.4543","841942.0000","0.4524","0.4960","0.4300"
"2018/11/28","0.4453","506115.0000","0.4500","0.4500","0.4201"
"2018/11/27","0.4301","562740.0000","0.4800","0.4900","0.4300"
"2018/11/26","0.4515","1270665.0000","0.4988","0.5195","0.4200"
"2018/11/23","0.4932","736558.0000","0.5100","0.5200","0.4901"
"2018/11/21","0.5144","4770794.0000","0.4950","0.6000","0.4649"
"2018/11/20","1.1900","206705.0000","1.2000","1.2100","1.1600"
"2018/11/19","1.2100","67526.0000","1.2200","1.2300","1.2100"
"2018/11/16","1.2200","141083.0000","1.2000","1.2400","1.1900"
"2018/11/15","1.2200","109845.0000","1.1500","1.2200","1.1500"
"2018/11/14","1.1500","213472.0000","1.1600","1.2500","1.1500"
"2018/11/13","1.1400","165461.0000","1.1800","1.2000","1.1200"
"2018/11/12","1.1600","94598.0000","1.1700","1.2100","1.1600"
"2018/11/09","1.1800","256383.0000","1.2700","1.2800","1.1800"
"2018/11/08","1.2700","220377.0000","1.3000","1.3050","1.2500"
"2018/11/07","1.2800","192644.0000","1.1900","1.2900","1.1900"
"2018/11/06","1.2100","104861.0000","1.2100","1.2400","1.1900"
"2018/11/05","1.2200","255670.0000","1.2300","1.3000","1.2100"
"2018/11/02","1.2500","416640.0000","1.1600","1.2936","1.1600"
